Bathrooms;Bedrooms;Erf_size;Floor_size;Garages;Listing_date;Listing_number;Pet_friendly;Price;Town;Type_of_property;Garden;Pool;Secure_parking;Parking;No_pets_allowed;Furnished;Flatlet;Fibre_internet;Furnished_optional;ADSL_internet;Satellite_internet;Fixed_wimax_internet;month;year
1.5;2.0;430.5;101.0;1.0;2020-09-21;109145001;0.0;3300000.0;219 Norfolk, Sea Point, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
4.0;5.0;314.0;471.0;2.0;2018-09-21;106776554;1.0;14995000.0;Green Point, Cape Town;House;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2018
2.0;2.0;81.0;81.0;2.0;2020-09-21;109144422;0.0;2750000.0;11 High Cape Avenue, Vredehoek, Cape Town;Apartment / Flat;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
1.0;2.0;430.5;88.0;1.0;2020-06-21;108783005;1.0;1350000.0;5 East-lee 14 Brent Road, Plumstead, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;2020
2.0;3.0;2670.0;315.0;2.0;2020-09-21;109141336;0.0;8900000.0;3 Touraine Close, Constantia, Cape Town;House;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;3.0;572.0;108.0;1.0;2020-09-23;109152211;0.0;2195000.0;4 Auriga Road, Retreat, Cape Town;House;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;430.5;86.0;2.0;2020-09-22;109148517;0.0;2800000.0;25 Wilderness Road, Claremont Upper, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.5;2.0;430.5;229.0;2.0;2020-09-23;109153453;1.0;9500000.0;252 Roggebaai Square, Cape Town City Centre, Cape Town;Apartment / Flat;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
4.0;4.0;991.0;375.0;1.0;2020-09-10;109100167;0.0;19800000.0;22 Fisherman's Bend, Llandudno, Cape Town;House;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;430.5;72.0;1.0;2020-09-21;109144901;0.0;1995000.0;Dunhof, 12 Hall Road, Sea Point, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;430.5;90.0;2.0;2020-09-21;109142015;1.0;2995000.0;54 Roeland Street, Cape Town City Centre, Cape Town;Apartment / Flat;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;3.0;430.5;107.0;1.0;2020-09-10;109102413;0.0;3250000.0;39 High Level Road, Green Point, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;3.0;491.0;199.0;1.0;2020-09-10;109101574;1.0;2200000.0;112 Rotherfield Road, Plumstead, Cape Town;House;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.5;2.0;430.5;111.0;1.0;2020-09-10;109101732;1.0;7950000.0;10 Quendon Road, Sea Point, Cape Town;Apartment / Flat;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
4.0;4.0;918.0;276.0;2.0;2020-09-11;109108159;0.0;5550000.0;12 Alexandra Road, Wynberg Upper, Cape Town;House;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
5.0;6.0;603.0;440.0;2.0;2020-09-11;109108152;0.0;10495000.0;21 Eton Way, Silvertree Estate, Cape Town;House;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
4.5;5.0;430.5;355.0;1.0;2020-09-21;109142619;0.0;55000000.0;30 Victoria Road, Clifton, Cape Town;Apartment / Flat;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
4.0;4.0;1085.0;92.0;2.0;2020-09-16;109126902;0.0;4950000.0;4 Gild Lane, Tokai, Cape Town;House;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
5.0;7.0;2032.0;600.0;3.0;2020-09-21;109144431;0.0;11500000.0;32 Duckitt Avenue, Constantia, Cape Town;House;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;430.5;71.0;1.0;2020-09-17;109132414;0.0;3299000.0;253 Ocean View Drive, Sea Point, Cape Town;Apartment / Flat;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
8.5;8.0;1034.0;92.0;4.0;2020-02-11;108430362;0.0;65000000.0;31 Theresa Avenue, Camps Bay, Cape Town;House;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;2020
2.0;4.0;894.0;175.0;2.0;2020-09-21;109144752;1.0;4850000.0;70 Rhodes Avenue, Newlands, Cape Town;House;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.5;3.0;430.5;97.0;1.0;2020-09-22;109146650;0.0;1850000.0;1 Shannon Mews, 24 Liesbeek Road, Rosebank, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
4.5;5.0;2743.0;92.0;2.0;2020-09-17;109128861;1.0;11950000.0;119 Rathfelder Avenue, Constantia, Cape Town;House;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;3.0;716.0;150.0;1.0;2020-09-17;109133849;1.0;3250000.0;5 Owen Drive, Meadowridge, Cape Town;House;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;95.0;62.0;1.0;2020-09-17;108356738;0.0;1730000.0;Melrose Village, 8 Melrose Rd, Muizenberg, Cape Town;Apartment / Flat;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;9;2020
2.0;3.0;430.5;226.0;1.0;2020-09-22;109149322;0.0;10990000.0;191 Beach Road, Sea Point, Sea Point, Cape Town;Apartment / Flat;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.5;1.0;430.5;106.0;1.0;2020-09-23;109153425;0.0;2290000.0;8 Adderley Street, Cape Town City Centre, Cape Town;Apartment / Flat;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
2.0;2.0;126.0;2203.0;1.0;2020-09-23;109152267;0.0;5495000.0;2 Gorleston Road, Fresnaye, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
1.0;1.0;430.5;68.0;1.0;2020-09-21;109142724;1.0;1700000.0;267 Victoria Road, Salt River, Cape Town;Apartment / Flat;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2020
